Kf,ASNR_dB,method,RMSE_rad,FailRate,sqrtCRB_rd,kThr,totalIter
2,0,Cov-guided,0.214843335698722,0.1571,0.00415285957388171,3,10000
3,0,Cov-guided,0.514832139196096,0.4441,0.00415285957388171,3,10000
4,0,Cov-guided,0.765505206798193,0.7698,0.00415285957388171,3,10000
2,5,Cov-guided,0.00304579984235474,0.0337,0.0020990550820572,3,10000
3,5,Cov-guided,0.055993866549929,0.1655,0.0020990550820572,3,10000
4,5,Cov-guided,0.200978478516566,0.4661,0.0020990550820572,3,10000
2,10,Cov-guided,0.00131988397036399,0.0053,0.00113513354417877,3,10000
3,10,Cov-guided,0.00177095334712452,0.0436,0.00113513354417877,3,10000
4,10,Cov-guided,0.00279307350534462,0.1883,0.00113513354417877,3,10000
2,15,Cov-guided,0.000723815424977605,0.0048,0.000630071310221586,3,10000
3,15,Cov-guided,0.000850151627341354,0.017,0.000630071310221586,3,10000
4,15,Cov-guided,0.00108967864980288,0.0657,0.000630071310221586,3,10000
2,0,Sectorization,0.74106355885448,0.4445,0.00415285957388171,3,10000
3,0,Sectorization,0.375605647198746,0.4942,0.00415285957388171,3,10000
4,0,Sectorization,0.255478001755602,0.7289,0.00415285957388171,3,10000
2,5,Sectorization,0.27283238318079,0.1342,0.0020990550820572,3,10000
3,5,Sectorization,0.00637325976501626,0.2346,0.0020990550820572,3,10000
4,5,Sectorization,0.00827273186208826,0.3916,0.0020990550820572,3,10000
2,10,Sectorization,0.0213905757250795,0.0334,0.00113513354417877,3,10000
3,10,Sectorization,0.00224973347139026,0.1054,0.00113513354417877,3,10000
4,10,Sectorization,0.00258702772726579,0.1587,0.00113513354417877,3,10000
2,15,Sectorization,0.000962856078961172,0.0181,0.000630071310221586,3,10000
3,15,Sectorization,0.000989680173854969,0.0467,0.000630071310221586,3,10000
4,15,Sectorization,0.00106143389955435,0.0597,0.000630071310221586,3,10000
