Kf,ASNR_dB,method,RMSE_rad,FailRate,sqrtCRB_rd,kThr,totalIter,Bbits,AnalyticalBound_l2
2,0,Cov_B1,0.493401502285657,0.7707,0.00415285957388171,3,10000,1,1
2,5,Cov_B1,0.151685887223369,0.9984,0.0020990550820572,3,10000,1,1
2,10,Cov_B1,0.125696072297724,1,0.00113513354417877,3,10000,1,1
2,15,Cov_B1,0.11832729152999,1,0.000630071310221586,3,10000,1,1
2,0,Cov_B2,0.37094272635493,0.2091,0.00415285957388171,3,10000,2,0.707106781186547
2,5,Cov_B2,0.0216462142027855,0.0475,0.0020990550820572,3,10000,2,0.707106781186547
2,10,Cov_B2,0.00304965350481782,0.2105,0.00113513354417877,3,10000,2,0.707106781186547
2,15,Cov_B2,0.00278899645166022,0.9996,0.000630071310221586,3,10000,2,0.707106781186547
2,0,Cov_B3,0.256082474137658,0.1507,0.00415285957388171,3,10000,3,0.38268343236509
2,5,Cov_B3,0.00347105312412945,0.0401,0.0020990550820572,3,10000,3,0.38268343236509
2,10,Cov_B3,0.00249291940073044,0.1258,0.00113513354417877,3,10000,3,0.38268343236509
2,15,Cov_B3,0.00221023859504878,0.6394,0.000630071310221586,3,10000,3,0.38268343236509
2,0,Cov_B4,0.223915320843327,0.143,0.00415285957388171,3,10000,4,0.195090322016128
2,5,Cov_B4,0.0027023769535213,0.0158,0.0020990550820572,3,10000,4,0.195090322016128
2,10,Cov_B4,0.00135477499975484,0.0064,0.00113513354417877,3,10000,4,0.195090322016128
2,15,Cov_B4,0.000790082354352756,0.0064,0.000630071310221586,3,10000,4,0.195090322016128
2,0,Cov_B5,0.234068498402166,0.1434,0.00415285957388171,3,10000,5,0.0980171403295606
2,5,Cov_B5,0.0026693125066691,0.0162,0.0020990550820572,3,10000,5,0.0980171403295606
2,10,Cov_B5,0.00132151735594911,0.0063,0.00113513354417877,3,10000,5,0.0980171403295606
2,15,Cov_B5,0.000738271339090169,0.0064,0.000630071310221586,3,10000,5,0.0980171403295606
2,0,Cov_B6,0.236852799160714,0.1411,0.00415285957388171,3,10000,6,0.049067674327418
2,5,Cov_B6,0.0026626012606413,0.0155,0.0020990550820572,3,10000,6,0.049067674327418
2,10,Cov_B6,0.00131174942013767,0.006,0.00113513354417877,3,10000,6,0.049067674327418
2,15,Cov_B6,0.000726004685632973,0.0055,0.000630071310221586,3,10000,6,0.049067674327418
2,0,Cov_BInf,0.236852799160714,0.1411,0.00415285957388171,3,10000,-1,0
2,5,Cov_BInf,0.0026626012606413,0.0155,0.0020990550820572,3,10000,-1,0
2,10,Cov_BInf,0.00131174942013767,0.006,0.00113513354417877,3,10000,-1,0
2,15,Cov_BInf,0.000726004685632973,0.0055,0.000630071310221586,3,10000,-1,0
